date,usdhkd,usdcny,usdhkd_minus_7_80,cu_position
2015-07-14,7.751160,6.198900,-0.048840,inside
2015-07-15,7.750710,6.199200,-0.049290,inside
2015-07-16,7.750620,6.199500,-0.049380,inside
2015-07-19,7.749720,6.199500,-0.050280,strong_side
2015-07-20,7.750780,6.199800,-0.049220,inside
2015-07-21,7.750430,6.199600,-0.049570,inside
2015-07-22,7.750260,6.199400,-0.049740,inside
2015-07-23,7.750540,6.199500,-0.049460,inside
2015-07-26,7.750640,6.199600,-0.049360,inside
2015-07-27,7.750880,6.199500,-0.049120,inside
2015-07-28,7.750430,6.199400,-0.049570,inside
2015-07-29,7.750530,6.199000,-0.049470,inside
2015-07-30,7.752680,6.199700,-0.047320,inside
2015-08-02,7.751610,6.199800,-0.048390,inside
2015-08-03,7.752850,6.199700,-0.047150,inside
2015-08-04,7.753380,6.199600,-0.046620,inside
2015-08-05,7.751380,6.199700,-0.048620,inside
2015-08-06,7.750560,6.199700,-0.049440,inside
2015-08-09,7.751100,6.199700,-0.048900,inside
2015-08-10,7.752050,6.199700,-0.047950,inside
2015-08-11,7.758850,6.314900,-0.041150,inside
2015-08-12,7.755660,6.377000,-0.044340,inside
2015-08-13,7.754050,6.388900,-0.045950,inside
2015-08-16,7.755160,6.381800,-0.044840,inside
2015-08-17,7.754080,6.384700,-0.045920,inside
2015-08-18,7.754280,6.383800,-0.045720,inside
2015-08-19,7.752480,6.385800,-0.047520,inside
2015-08-20,7.751960,6.379000,-0.048040,inside
2015-08-23,7.751560,6.378900,-0.048440,inside
2015-08-24,7.752680,6.394400,-0.047320,inside
2015-08-25,7.751450,6.402900,-0.048550,inside
2015-08-26,7.750830,6.401000,-0.049170,inside
2015-08-27,7.750260,6.395300,-0.049740,inside
2015-08-30,7.749450,6.378500,-0.050550,strong_side
2015-08-31,7.749960,6.366400,-0.050040,strong_side
2015-09-01,7.749860,6.354500,-0.050140,strong_side
2015-09-02,7.749910,6.345900,-0.050090,strong_side
2015-09-03,7.749670,6.345900,-0.050330,strong_side
2015-09-06,7.749490,6.345900,-0.050510,strong_side
2015-09-07,7.749440,6.355900,-0.050560,strong_side
2015-09-08,7.750930,6.357200,-0.049070,inside
2015-09-09,7.751310,6.367800,-0.048690,inside
2015-09-10,7.749620,6.367200,-0.050380,strong_side
2015-09-13,7.749580,6.365000,-0.050420,strong_side
2015-09-14,7.749860,6.357900,-0.050140,strong_side
2015-09-15,7.749540,6.360000,-0.050460,strong_side
2015-09-16,7.749840,6.360900,-0.050160,strong_side
2015-09-17,7.749500,6.356000,-0.050500,strong_side
2015-09-20,7.749470,6.354300,-0.050530,strong_side
2015-09-21,7.749470,6.359100,-0.050530,strong_side
2015-09-22,7.749450,6.366000,-0.050550,strong_side
2015-09-23,7.749450,6.373700,-0.050550,strong_side
2015-09-24,7.750200,6.373300,-0.049800,inside
2015-09-27,7.749730,6.364100,-0.050270,strong_side
2015-09-28,7.749660,6.358800,-0.050340,strong_side
2015-09-29,7.749620,6.353600,-0.050380,strong_side
2015-09-30,7.749520,6.347100,-0.050480,strong_side
2015-10-01,7.749480,6.346100,-0.050520,strong_side
2015-10-04,7.749480,6.346100,-0.050520,strong_side
2015-10-05,7.749900,6.346100,-0.050100,strong_side
2015-10-06,7.749480,6.346100,-0.050520,strong_side
2015-10-07,7.749490,6.346100,-0.050510,strong_side
2015-10-08,7.749470,6.343500,-0.050530,strong_side
2015-10-11,7.749450,6.335300,-0.050550,strong_side
2015-10-12,7.749500,6.313000,-0.050500,strong_side
2015-10-13,7.749480,6.332300,-0.050520,strong_side
2015-10-14,7.749490,6.337700,-0.050510,strong_side
2015-10-15,7.749470,6.336200,-0.050530,strong_side
2015-10-18,7.749450,6.342600,-0.050550,strong_side
2015-10-19,7.749490,6.350100,-0.050510,strong_side
2015-10-20,7.749950,6.338400,-0.050050,strong_side
2015-10-21,7.749700,6.339300,-0.050300,strong_side
2015-10-22,7.749520,6.348000,-0.050480,strong_side
2015-10-26,7.749490,6.339100,-0.050510,strong_side
2015-10-27,7.749500,6.343200,-0.050500,strong_side
2015-10-28,7.749530,6.343200,-0.050470,strong_side
